533,141778
745,277140
269,36046
224,24976
556,154290
214,22791
784,306936
836,349030
366,66795
958,458403
588,172578
817,333336
830,344035
683,232903
439,96141
470,110215
589,173166
844,355746
986,485605
871,378885
312,48516
773,298378
37,666
728,264628
737,271216
607,183921
644,207046
962,462241
466,108345
930,431985
42,861
514,131841
559,155961
53,1378
467,108811
173,14878
813,330078
546,148785
172,14706
485,117370
120,7140
745,277140
396,78210
745,277140
678,229503
235,27495
349,60726
953,453628
760,288420
310,47895
620,191890
568,161028
70,2415
370,68265
218,23653
667,222111
672,225456
533,141778
967,467061
907,410871
254,32131
158,12403
944,445096
533,141778
828,342378
354,62481
627,196251
699,243951
609,185136
586,171405
633,200028
781,304590
811,328455
996,495510
875,382375
34,561
372,69006
147,10731
319,50721
61,1830
138,9453
59,1711
706,248865
281,39340
889,394716
109,5886
33,528
117,6786
401,80200
709,250986
424,89676
932,433846
694,240471
161,12880
642,205761
624,194376
629,197506
802,321201
135,9045
86,3655
