13,43
11,37
13,47
9,25
10,30
15,53
9,26
11,38
13,47
14,46
10,33
12,43
11,36
15,57
14,50
6,15
9,26
8,23
8,22
8,23
10,30
15,56
9,26
9,25
13,46
5,11
7,17
7,19
5,11
10,31
14,51
13,44
10,32
9,29
12,41
8,22
12,43
15,59
15,53
7,19
15,53
11,34
10,33
14,49
11,37
9,27
11,33
7,19
5,11
10,29
5,12
6,15
5,11
5,11
9,28
7,17
6,15
8,21
13,46
12,40
14,53
15,58
12,42
5,11
8,23
12,39
10,31
14,52
13,46
10,31
8,24
11,38
15,57
8,21
8,22
7,18
15,52
5,11
15,53
9,28
8,24
6,14
8,23
15,57
8,23
8,22
14,52
14,49
11,37
12,42
8,24
10,30
8,23
7,20
14,49
15,55
14,50
6,13
14,52
11,37
