6,11
13,43
6,13
15,37
5,8
10,27
14,40
6,9
8,14
14,38
5,7
10,29
15,58
13,34
15,40
13,46
15,41
10,21
10,20
9,18
8,15
13,41
5,6
11,24
10,19
12,29
13,46
11,23
9,24
13,35
13,37
5,10
11,29
7,11
12,27
14,37
15,53
6,12
13,33
9,26
13,30
14,35
15,43
9,23
7,11
9,20
5,8
8,20
9,17
9,20
12,30
10,28
12,29
12,44
11,27
12,38
9,25
15,41
12,36
5,7
6,9
15,51
6,13
15,58
9,21
7,13
12,35
13,43
7,13
8,22
11,26
15,59
5,9
15,38
14,35
5,9
12,38
10,24
7,11
13,40
13,42
6,9
11,29
10,32
14,47
15,41
10,24
6,8
5,9
8,19
7,13
14,45
5,10
9,20
5,7
8,20
6,15
12,38
5,6
10,33
