627,196251
89,3916
417,86736
952,452676
135,9045
919,421821
509,129286
922,424581
700,244650
129,8256
501,125250
745,277140
522,135981
863,371953
503,126253
1000,499500
689,237016
225,25200
409,83436
415,85905
577,166176
153,11628
428,91378
417,86736
953,453628
460,105570
653,212878
395,77815
729,265356
798,318003
598,178503
632,199396
860,369370
67,2211
141,9870
362,65341
187,17391
213,22578
539,144991
653,212878
747,278631
108,5778
674,226801
938,439453
33,528
85,3570
187,17391
687,235641
345,59340
72,2556
864,372816
75,2775
662,218791
610,185745
269,36046
821,336610
429,91806
816,332520
593,175528
872,379756
979,478731
370,68265
714,254541
494,121771
460,105570
42,861
355,62835
609,185136
793,314028
525,137550
141,9870
889,394716
96,4560
777,301476
182,16471
380,72010
286,40755
838,350703
37,666
366,66795
743,275653
650,210925
177,15576
235,27495
276,37950
861,370230
293,42778
261,33930
710,251695
543,147153
50,1225
710,251695
326,52975
709,250986
315,49455
123,7503
467,108811
363,65703
320,51040
45,990
